MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/2/2024 20:23:54,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,1,0,0,0,nan,nan,0.42
10/2/2024 20:29:24,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,2,0,0,0,nan,nan,0.11
10/2/2024 20:29:31,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,3,0,0,0,nan,nan,0.40
10/2/2024 20:29:37,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,4,0,0,0,nan,nan,0.27
10/2/2024 20:29:39,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,5,0,0,0,nan,nan,0.20
10/2/2024 20:29:41,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,6,0,0,0,nan,nan,0.19
10/2/2024 20:29:43,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,7,0,0,0,nan,nan,0.04
10/2/2024 20:29:45,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,8,0,0,0,nan,nan,0.48
10/2/2024 20:29:46,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,9,0,0,0,nan,nan,0.14
10/2/2024 20:29:48,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,10,0,0,0,nan,nan,0.16
10/2/2024 20:29:49,1.16.3,RevT_R,0,4.09,nan,1,Left,Right,11,0,0,0,nan,nan,0.24
10/2/2024 20:29:53,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,12,0,0,0,nan,nan,0.14
10/2/2024 20:37:11,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,12,1,0,0,nan,nan,0.21
10/2/2024 20:37:29,1.16.3,RevT_R,0,4.07,3,1,Pellet,Right,12,1,1,0,14.65,nan,nan
10/2/2024 20:44:45,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,13,1,1,0,nan,nan,0.30
10/2/2024 20:46:50,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,14,1,1,0,nan,nan,0.19
10/2/2024 20:46:52,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,15,1,1,0,nan,nan,0.15
10/2/2024 20:46:58,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,16,1,1,0,nan,nan,0.17
10/2/2024 20:47:00,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,17,1,1,0,nan,nan,0.40
10/2/2024 20:47:02,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,18,1,1,0,nan,nan,0.14
10/2/2024 20:47:51,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,19,1,1,0,nan,nan,0.11
10/2/2024 20:47:53,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,20,1,1,0,nan,nan,0.39
10/2/2024 20:47:53,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,21,1,1,0,nan,nan,0.01
10/2/2024 20:47:54,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,22,1,1,0,nan,nan,0.11
10/2/2024 20:47:57,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,23,1,1,0,nan,nan,0.50
10/2/2024 20:47:58,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,24,1,1,0,nan,nan,0.26
10/2/2024 20:48:02,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,25,1,1,0,nan,nan,1.01
10/2/2024 20:48:03,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,26,1,1,0,nan,nan,0.00
10/2/2024 20:48:07,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,27,1,1,0,nan,nan,0.67
10/2/2024 20:48:08,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,28,1,1,0,nan,nan,0.08
10/2/2024 20:48:11,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,29,1,1,0,nan,nan,0.25
10/2/2024 20:48:13,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,30,1,1,0,nan,nan,0.42
10/2/2024 20:48:14,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,31,1,1,0,nan,nan,0.00
10/2/2024 20:48:18,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,32,1,1,0,nan,nan,0.15
10/2/2024 20:48:38,1.16.3,RevT_R,0,4.08,nan,1,Right,Right,32,2,1,0,nan,nan,0.47
10/2/2024 20:48:45,1.16.3,RevT_R,0,4.08,2,1,Pellet,Right,32,2,2,0,5.45,676,nan
10/2/2024 20:49:06,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,33,2,2,0,nan,nan,0.26
10/2/2024 20:49:12,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,34,2,2,0,nan,nan,0.16
10/2/2024 20:49:13,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,35,2,2,0,nan,nan,0.02
10/2/2024 20:49:17,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,36,2,2,0,nan,nan,0.12
10/2/2024 20:50:02,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,37,2,2,0,nan,nan,0.06
10/2/2024 20:51:04,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,38,2,2,0,nan,nan,0.03
10/2/2024 20:51:06,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,39,2,2,0,nan,nan,0.45
10/2/2024 20:51:09,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,40,2,2,0,nan,nan,0.14
10/2/2024 21:09:12,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,41,2,2,0,nan,nan,0.39
10/2/2024 21:09:20,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,42,2,2,0,nan,nan,0.29
10/2/2024 21:09:22,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,43,2,2,0,nan,nan,0.41
10/2/2024 21:09:23,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,44,2,2,0,nan,nan,0.00
10/2/2024 21:14:17,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,45,2,2,0,nan,nan,0.52
10/2/2024 21:14:21,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,46,2,2,0,nan,nan,0.03
10/2/2024 21:14:23,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,47,2,2,0,nan,nan,0.00
10/2/2024 21:14:32,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,48,2,2,0,nan,nan,0.21
10/2/2024 21:14:41,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,49,2,2,0,nan,nan,0.39
10/2/2024 21:14:48,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,49,3,2,0,nan,nan,0.06
10/2/2024 21:14:53,1.16.3,RevT_R,0,4.07,2,1,Pellet,Right,49,3,3,0,3.30,1568,nan
10/2/2024 21:15:58,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,50,3,3,0,nan,nan,0.11
10/2/2024 21:16:00,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,51,3,3,0,nan,nan,0.42
10/2/2024 21:16:03,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,52,3,3,0,nan,nan,0.14
10/2/2024 21:16:57,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,53,3,3,0,nan,nan,0.32
10/2/2024 21:20:00,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,54,3,3,0,nan,nan,0.42
10/2/2024 21:20:01,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,55,3,3,0,nan,nan,0.00
10/2/2024 21:20:14,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,56,3,3,0,nan,nan,0.02
10/2/2024 21:20:27,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,56,4,3,0,nan,nan,0.02
10/2/2024 21:20:27,1.16.3,RevT_R,0,4.07,nan,1,RightDuringDispense,Right,56,5,3,0,nan,nan,0.10
10/2/2024 21:20:29,1.16.3,RevT_R,0,4.08,nan,1,RightDuringDispense,Right,56,6,3,0,nan,nan,0.25
10/2/2024 21:20:31,1.16.3,RevT_R,0,4.08,3,1,Pellet,Right,56,6,4,0,0.48,338,nan
10/2/2024 21:21:32,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,57,6,4,0,nan,nan,0.14
10/2/2024 21:21:48,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,58,6,4,0,nan,nan,0.04
10/2/2024 21:24:24,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,59,6,4,0,nan,nan,0.01
10/2/2024 21:24:31,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,59,7,4,0,nan,nan,0.41
10/2/2024 21:24:34,1.16.3,RevT_R,0,4.07,nan,1,RightWithPellet,Right,59,8,4,0,nan,nan,0.45
10/2/2024 21:24:37,1.16.3,RevT_R,0,4.07,nan,1,RightWithPellet,Right,59,9,4,0,nan,nan,0.74
10/2/2024 21:24:38,1.16.3,RevT_R,0,4.07,nan,1,RightWithPellet,Right,59,10,4,0,nan,nan,0.48
10/2/2024 21:24:40,1.16.3,RevT_R,0,4.07,2,1,Pellet,Right,59,10,5,0,7.50,248,nan
10/2/2024 21:26:03,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,60,10,5,0,nan,nan,0.10
10/2/2024 21:26:11,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,60,11,5,0,nan,nan,0.04
10/2/2024 21:26:17,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,60,11,6,0,5.14,98,nan
10/2/2024 21:27:32,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,60,12,6,0,nan,nan,0.06
10/2/2024 21:27:35,1.16.3,RevT_R,0,4.07,nan,1,RightWithPellet,Right,60,13,6,0,nan,nan,0.55
10/2/2024 21:27:37,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,60,13,7,0,3.94,80,nan
10/2/2024 21:28:06,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,61,13,7,0,nan,nan,0.22
10/2/2024 21:28:09,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,62,13,7,0,nan,nan,0.53
10/2/2024 21:28:13,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,63,13,7,0,nan,nan,0.19
10/2/2024 21:28:17,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,63,14,7,0,nan,nan,0.19
10/2/2024 21:28:18,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,63,14,8,0,0.91,41,nan
10/2/2024 21:28:32,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,64,14,8,0,nan,nan,0.03
10/2/2024 21:29:16,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,65,14,8,0,nan,nan,0.37
10/2/2024 21:29:27,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,65,15,8,0,nan,nan,0.25
10/2/2024 21:29:30,1.16.3,RevT_R,0,4.07,nan,1,RightWithPellet,Right,65,16,8,0,nan,nan,0.32
10/2/2024 21:29:35,1.16.3,RevT_R,0,4.07,nan,1,RightWithPellet,Right,65,17,8,0,nan,nan,0.20
10/2/2024 21:29:36,1.16.3,RevT_R,0,4.07,nan,1,RightWithPellet,Right,65,18,8,0,nan,nan,0.23
10/2/2024 21:29:38,1.16.3,RevT_R,0,4.08,nan,1,RightWithPellet,Right,65,19,8,0,nan,nan,0.15
10/2/2024 21:29:39,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,65,19,9,0,11.25,81,nan
10/2/2024 21:29:55,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,66,19,9,0,nan,nan,0.04
10/2/2024 21:29:58,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,67,19,9,0,nan,nan,0.30
10/2/2024 21:30:01,1.16.3,RevT_R,0,4.08,nan,1,Left,Right,68,19,9,0,nan,nan,0.03
10/2/2024 21:30:06,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,69,19,9,0,nan,nan,0.18
10/2/2024 21:30:13,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,70,19,9,0,nan,nan,0.12
10/2/2024 21:30:15,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,70,20,9,0,nan,nan,0.05
10/2/2024 21:30:18,1.16.3,RevT_R,0,4.07,2,1,Pellet,Right,70,20,10,0,2.01,39,nan
10/2/2024 21:33:36,1.16.3,RevT_R,0,4.08,nan,1,Right,Right,70,21,10,0,nan,nan,0.46
10/2/2024 21:33:37,1.16.3,RevT_R,0,4.07,nan,1,RightWithPellet,Right,70,22,10,0,nan,nan,0.27
10/2/2024 21:33:41,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,70,22,11,0,4.21,203,nan
10/2/2024 21:34:03,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,71,22,11,0,nan,nan,0.22
10/2/2024 21:34:20,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,71,23,11,0,nan,nan,0.02
10/2/2024 21:34:22,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,71,23,12,0,1.28,41,nan
10/2/2024 21:34:39,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,72,23,12,0,nan,nan,0.03
10/2/2024 21:34:45,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,72,24,12,0,nan,nan,0.15
10/2/2024 21:34:47,1.16.3,RevT_R,0,4.07,nan,1,RightWithPellet,Right,72,25,12,0,nan,nan,0.14
10/2/2024 21:34:49,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,72,25,13,0,3.48,27,nan
10/2/2024 21:37:22,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,72,26,13,0,nan,nan,0.15
10/2/2024 21:37:25,1.16.3,RevT_R,0,4.08,1,1,Pellet,Right,72,26,14,0,2.32,156,nan
10/2/2024 21:46:47,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,72,27,14,0,nan,nan,0.08
10/2/2024 21:46:49,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,72,27,15,0,1.22,564,nan
10/2/2024 21:47:10,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,73,27,15,0,nan,nan,0.04
10/2/2024 21:47:13,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,74,27,15,0,nan,nan,0.28
10/2/2024 21:47:23,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,74,28,15,0,nan,nan,0.17
10/2/2024 21:47:24,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,74,28,16,0,0.97,35,nan
10/2/2024 21:47:51,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,74,29,16,0,nan,nan,0.24
10/2/2024 21:47:53,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,74,29,17,0,0.91,29,nan
10/2/2024 21:48:08,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,74,30,17,0,nan,nan,0.13
10/2/2024 21:48:10,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,74,30,18,0,1.95,17,nan
10/2/2024 21:48:39,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,74,31,18,0,nan,nan,0.28
10/2/2024 21:48:43,1.16.3,RevT_R,0,4.07,nan,1,RightWithPellet,Right,74,32,18,0,nan,nan,0.12
10/2/2024 21:48:45,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,74,32,19,0,5.16,34,nan
10/2/2024 21:49:08,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,74,33,19,0,nan,nan,0.08
10/2/2024 21:49:09,1.16.3,RevT_R,0,4.07,nan,1,RightWithPellet,Right,74,34,19,0,nan,nan,0.04
10/2/2024 21:49:11,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,74,34,20,0,2.54,27,nan
10/2/2024 21:50:53,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,74,35,20,0,nan,nan,0.08
10/2/2024 21:50:59,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,74,35,21,0,5.63,108,nan
10/2/2024 22:11:30,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,75,35,21,0,nan,nan,0.00
10/2/2024 22:11:31,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,75,36,21,0,nan,nan,0.14
10/2/2024 22:11:33,1.16.3,RevT_R,0,4.07,nan,1,RightWithPellet,Right,75,37,21,0,nan,nan,0.29
10/2/2024 22:11:33,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,75,37,22,0,1.29,1234,nan
10/2/2024 22:11:47,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,75,38,22,0,nan,nan,0.06
10/2/2024 22:11:49,1.16.3,RevT_R,0,4.08,1,1,Pellet,Right,75,38,23,0,0.97,16,nan
10/2/2024 22:12:15,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,75,39,23,0,nan,nan,0.44
10/2/2024 22:12:20,1.16.3,RevT_R,0,4.06,1,1,Pellet,Right,75,39,24,0,3.80,31,nan
10/2/2024 22:12:44,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,75,40,24,0,nan,nan,0.32
10/2/2024 22:12:45,1.16.3,RevT_R,0,4.07,nan,1,RightDuringDispense,Right,75,41,24,0,nan,nan,0.14
10/2/2024 22:12:50,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,75,41,25,0,4.65,30,nan
10/2/2024 22:13:22,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,75,42,25,0,nan,nan,0.11
10/2/2024 22:15:31,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,75,43,25,0,nan,nan,0.16
10/2/2024 22:16:24,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,76,43,25,0,nan,nan,0.17
10/2/2024 22:16:25,1.16.3,RevT_R,0,4.07,2,1,Pellet,Left,76,43,26,0,0.67,215,nan
10/2/2024 22:16:42,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,77,43,26,0,nan,nan,0.10
10/2/2024 22:16:45,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,77,43,27,0,1.83,20,nan
10/2/2024 22:17:00,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,78,43,27,0,nan,nan,0.18
10/2/2024 22:17:02,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,78,43,28,0,1.16,16,nan
10/2/2024 22:17:30,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,79,43,28,0,nan,nan,0.28
10/2/2024 22:17:32,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,79,43,29,0,0.79,31,nan
10/2/2024 22:17:46,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,80,43,29,0,nan,nan,0.23
10/2/2024 22:17:48,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,80,43,30,0,0.48,16,nan
10/2/2024 22:18:16,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,81,43,30,0,nan,nan,0.07
10/2/2024 22:18:17,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,81,43,31,0,0.55,29,nan
10/2/2024 22:20:10,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,81,44,31,0,nan,nan,0.10
10/2/2024 22:20:16,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,81,45,31,0,nan,nan,0.11
10/2/2024 22:20:19,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,81,46,31,0,nan,nan,0.02
10/2/2024 22:20:22,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,81,47,31,0,nan,nan,0.08
10/2/2024 22:20:35,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,81,48,31,0,nan,nan,0.18
10/2/2024 22:20:37,1.16.3,RevT_R,0,4.06,nan,1,Right,Left,81,49,31,0,nan,nan,0.10
10/2/2024 22:20:44,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,81,50,31,0,nan,nan,0.44
10/2/2024 22:20:49,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,81,51,31,0,nan,nan,0.02
10/2/2024 22:22:03,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,81,52,31,0,nan,nan,0.14
10/2/2024 22:22:06,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,82,52,31,0,nan,nan,0.41
10/2/2024 22:22:07,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,82,52,32,0,0.55,230,nan
10/2/2024 22:22:25,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,83,52,32,0,nan,nan,0.08
10/2/2024 22:22:27,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,83,52,33,0,0.49,19,nan
10/2/2024 22:25:38,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,83,53,33,0,nan,nan,0.07
10/2/2024 22:25:39,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,84,53,33,0,nan,nan,0.15
10/2/2024 22:25:40,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,84,53,34,0,0.48,194,nan
10/2/2024 22:29:15,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,84,54,34,0,nan,nan,0.10
10/2/2024 22:29:16,1.16.3,RevT_R,0,4.08,nan,1,Right,Left,84,55,34,0,nan,nan,0.04
10/2/2024 22:29:30,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,85,55,34,0,nan,nan,0.04
10/2/2024 22:29:31,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,85,55,35,0,0.36,231,nan
10/2/2024 22:36:24,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,85,56,35,0,nan,nan,0.16
10/2/2024 22:36:27,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,86,56,35,0,nan,nan,0.09
10/2/2024 22:36:29,1.16.3,RevT_R,0,4.06,1,1,Pellet,Left,86,56,36,0,0.91,418,nan
10/2/2024 22:36:42,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,87,56,36,0,nan,nan,0.06
10/2/2024 22:36:43,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,87,56,37,0,0.61,14,nan
10/2/2024 22:38:17,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,88,56,37,0,nan,nan,0.18
10/2/2024 22:38:18,1.16.3,RevT_R,0,4.06,1,1,Pellet,Left,88,56,38,0,0.48,95,nan
10/2/2024 22:38:32,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,89,56,38,0,nan,nan,0.07
10/2/2024 22:38:33,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,89,56,39,0,0.49,15,nan
10/2/2024 22:38:58,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,90,56,39,0,nan,nan,0.10
10/2/2024 22:39:56,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,90,56,40,0,56.67,83,nan
10/2/2024 22:43:44,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,91,56,40,0,nan,nan,0.03
10/2/2024 22:43:45,1.16.3,RevT_R,0,4.06,nan,1,LeftWithPellet,Left,92,56,40,0,nan,nan,0.07
10/2/2024 22:43:46,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,92,56,41,0,1.93,230,nan
10/2/2024 22:44:02,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,93,56,41,0,nan,nan,0.05
10/2/2024 22:44:04,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,93,56,42,0,0.73,18,nan
10/2/2024 22:46:45,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,94,56,42,0,nan,nan,0.27
10/2/2024 22:46:47,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,94,56,43,0,0.61,163,nan
10/2/2024 22:56:10,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,95,56,43,0,nan,nan,0.19
10/2/2024 22:56:11,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,95,56,44,0,0.79,564,nan
10/2/2024 23:00:16,1.16.3,RevT_R,0,4.06,nan,1,Left,Left,96,56,44,0,nan,nan,0.02
10/2/2024 23:00:18,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,96,56,45,0,0.67,247,nan
10/2/2024 23:00:53,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,96,57,45,0,nan,nan,1.00
10/2/2024 23:00:54,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,96,58,45,0,nan,nan,0.16
10/2/2024 23:01:00,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,97,58,45,0,nan,nan,0.04
10/2/2024 23:01:02,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,97,58,46,0,0.73,44,nan
10/2/2024 23:01:14,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,98,58,46,0,nan,nan,0.11
10/2/2024 23:01:18,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,98,58,47,0,3.00,16,nan
10/2/2024 23:01:42,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,98,59,47,0,nan,nan,0.30
10/2/2024 23:01:44,1.16.3,RevT_R,0,4.07,nan,1,Right,Left,98,60,47,0,nan,nan,0.27
10/2/2024 23:01:47,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,99,60,47,0,nan,nan,0.21
10/2/2024 23:01:49,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,99,60,48,0,0.48,31,nan
10/2/2024 23:02:03,1.16.3,RevT_R,0,4.06,nan,1,Left,Left,100,60,48,0,nan,nan,0.17
10/2/2024 23:02:04,1.16.3,RevT_R,0,4.07,1,1,Pellet,Left,100,60,49,0,0.55,15,nan
10/2/2024 23:02:39,1.16.3,RevT_R,0,4.07,nan,1,Left,Left,101,60,49,0,nan,nan,0.08
10/2/2024 23:02:41,1.16.3,RevT_R,0,4.07,2,1,Pellet,Left,101,60,50,0,0.79,37,nan
10/2/2024 23:02:59,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,102,60,50,0,nan,nan,0.04
10/2/2024 23:07:28,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,103,60,50,0,nan,nan,0.16
10/2/2024 23:07:30,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,104,60,50,0,nan,nan,0.17
10/2/2024 23:07:33,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,105,60,50,0,nan,nan,0.23
10/2/2024 23:07:35,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,106,60,50,0,nan,nan,0.37
10/2/2024 23:07:38,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,107,60,50,0,nan,nan,0.09
10/2/2024 23:07:48,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,108,60,50,0,nan,nan,0.14
10/2/2024 23:07:54,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,108,61,50,0,nan,nan,0.19
10/2/2024 23:07:58,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,108,61,51,0,3.43,317,nan
10/2/2024 23:10:12,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,109,61,51,0,nan,nan,0.14
10/2/2024 23:12:28,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,110,61,51,0,nan,nan,0.11
10/2/2024 23:12:31,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,111,61,51,0,nan,nan,0.10
10/2/2024 23:12:59,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,111,62,51,0,nan,nan,0.11
10/2/2024 23:13:02,1.16.3,RevT_R,0,4.07,2,1,Pellet,Right,111,62,52,0,1.28,304,nan
10/2/2024 23:13:17,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,111,63,52,0,nan,nan,0.19
10/2/2024 23:13:20,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,111,63,53,0,2.08,18,nan
10/2/2024 23:13:35,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,111,64,53,0,nan,nan,0.15
10/2/2024 23:13:36,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,111,64,54,0,0.73,16,nan
