Mouse	Day 1(min)	Day 2(min)	Day 3(min)
B10.M1	  0.883		  350.467		  98.067
B10.M2	  0.95		  0.8		  0.75
B10.M3	  4.817		  47.15		  93.183
B10.M4	  5.3		  1.333		  0.283
B10.M5	  1.45		  61.9		  38.733
B6.M1	  1.517		  0.25		  1.0
B6.M2	  0.717		  0.317		  0.033
B6.M3	  1.1		  16.35		  0.75
B6.M4	  0.783		  1.617		  3.933
B8.M1	  1.517		  1.45		  21.617
B8.M2	  1.117		  0.567		  0.717
B8.M3	  2.533		  0.2		  0.817
B9.M1	  3.4		  0.983		  0.433
B9.M2	  1.35		  0.583		  0.767
C2.M2	  2.483		  1.75		  1.083
C3.M1	  1.45		  0.933		  1.4
C3.M2	  3.25		  0.233		  0.1
C5.M1	  1.667		  0.617		  1.75
C6.M2	  0.417		  1.533		  0.133
C6.M3	  54.25		  15.117		  3.033
C7.M2	  5.933		  0.867		  1.233
C8.M2	  0.933		  1.433		  0.667
C8.M3	  0.867		  0		  6.017
C9.M2	  1.617		  0.167		  0.267
